TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
450304.0,0.96075,0.05359,0.02038
450908.0,0.9608,0.05344,0.02052
451512.0,0.96077,0.05355,0.02054
452116.0,0.96075,0.05357,0.02056
452720.0,0.96064,0.05373,0.02057
453324.0,0.96068,0.05366,0.02054
453928.0,0.96072,0.05357,0.02056
454532.0,0.96097,0.05337,0.02071
455136.0,0.96081,0.05354,0.02054
455740.0,0.96094,0.05348,0.02069
456344.0,0.96098,0.05332,0.02055
456948.0,0.96076,0.05361,0.02044
457552.0,0.96089,0.05348,0.0205
458156.0,0.96085,0.05344,0.0208
458760.0,0.96087,0.05347,0.02078
459364.0,0.96095,0.05343,0.02081
459968.0,0.96087,0.05355,0.02082
460572.0,0.96084,0.05336,0.02093
461176.0,0.96092,0.05352,0.02089
461780.0,0.96096,0.05338,0.02077
462384.0,0.96089,0.05342,0.02076
462988.0,0.96096,0.05337,0.02081
463592.0,0.96091,0.05342,0.0209
464196.0,0.96099,0.05338,0.02096
464800.0,0.9609,0.05348,0.02086
465404.0,0.96084,0.05339,0.02076
466008.0,0.96069,0.0536,0.0207
466612.0,0.9608,0.05353,0.0208
467216.0,0.9609,0.0533,0.02105
467820.0,0.96095,0.05333,0.02073
468424.0,0.96078,0.05355,0.02051
469028.0,0.96073,0.0535,0.0205
469632.0,0.96093,0.05339,0.02064
470236.0,0.96079,0.05351,0.02057
470840.0,0.96095,0.05343,0.02085
471444.0,0.96089,0.05341,0.02059
472048.0,0.96072,0.05372,0.02051
472652.0,0.96078,0.05347,0.0205
473256.0,0.96081,0.05344,0.02068
473860.0,0.96086,0.05344,0.02063
474464.0,0.96088,0.05346,0.02075
475068.0,0.96093,0.05346,0.02084
475672.0,0.96105,0.05323,0.02094
476276.0,0.96102,0.05329,0.02084
476880.0,0.96111,0.0532,0.02098
477484.0,0.96099,0.05313,0.02104
478088.0,0.9608,0.0534,0.02075
478692.0,0.96085,0.05334,0.02073
479296.0,0.9608,0.05347,0.02071
479900.0,0.96084,0.0534,0.02093
480504.0,0.96103,0.05328,0.02115
481108.0,0.96091,0.05334,0.02102
481712.0,0.96102,0.0534,0.02108
482316.0,0.96086,0.05354,0.02096
482920.0,0.96086,0.05344,0.02107
483524.0,0.96098,0.05353,0.02094
484128.0,0.96099,0.05333,0.0211
484732.0,0.96102,0.05343,0.02107
485336.0,0.96109,0.05343,0.02126
485940.0,0.96086,0.0536,0.02106
486544.0,0.96088,0.05344,0.02113
487148.0,0.96081,0.05358,0.021
487752.0,0.96072,0.05359,0.02091
488356.0,0.96093,0.05341,0.02084
488960.0,0.96105,0.05332,0.02081
489564.0,0.96095,0.05349,0.02065
490168.0,0.96083,0.05359,0.02064
490772.0,0.96076,0.05354,0.02065
491376.0,0.9608,0.0535,0.02072
491980.0,0.96091,0.05322,0.02078
492584.0,0.96091,0.05335,0.02079
493188.0,0.96065,0.05357,0.02053
493792.0,0.96083,0.0535,0.02079
494396.0,0.96077,0.05356,0.02072
495000.0,0.96096,0.05337,0.02098
495604.0,0.9608,0.05346,0.02069
496208.0,0.96076,0.05351,0.0206
496812.0,0.96093,0.05342,0.02085
497416.0,0.96087,0.05334,0.02103
498020.0,0.96082,0.05347,0.02105
498624.0,0.96095,0.05336,0.02096
499228.0,0.96071,0.05368,0.02079
499832.0,0.96085,0.05342,0.02081
500436.0,0.96086,0.05335,0.02093
501040.0,0.96082,0.05332,0.02088
501644.0,0.96073,0.0535,0.02084
502248.0,0.96084,0.05343,0.02079
502852.0,0.96087,0.05345,0.02073
503456.0,0.96077,0.05358,0.02057
504060.0,0.96093,0.05341,0.02075
504664.0,0.96095,0.05336,0.02072
505268.0,0.96081,0.05363,0.02065
505872.0,0.96087,0.05342,0.0208
506476.0,0.96095,0.05333,0.02083
507080.0,0.96097,0.05336,0.0209
507684.0,0.96079,0.05356,0.02079
508288.0,0.96093,0.05338,0.02078
508892.0,0.96084,0.05356,0.02081
509496.0,0.96089,0.05353,0.02073
510100.0,0.96086,0.05348,0.02077
