TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
983724.0,-0.04224,1.05761,0.00623
984608.0,-0.04223,1.05758,0.00637
985492.0,-0.04225,1.05753,0.00641
986376.0,-0.0422,1.05752,0.00651
987260.0,-0.04227,1.0576,0.00658
988144.0,-0.04225,1.05748,0.00656
989028.0,-0.04236,1.05775,0.00643
989912.0,-0.04237,1.05763,0.0066
990796.0,-0.0424,1.05766,0.00662
991680.0,-0.04245,1.0577,0.00655
992564.0,-0.04242,1.05775,0.00644
993448.0,-0.0423,1.05763,0.00658
994332.0,-0.04242,1.05765,0.00647
995216.0,-0.04247,1.05772,0.00652
996100.0,-0.04243,1.0576,0.0066
996984.0,-0.04233,1.05758,0.0066
997868.0,-0.04229,1.05755,0.00642
998752.0,-0.04233,1.05756,0.00652
999636.0,-0.04226,1.05763,0.00653
1000520.0,-0.04233,1.05754,0.00634
1001404.0,-0.04237,1.05758,0.00653
1002288.0,-0.04234,1.0576,0.00663
1003172.0,-0.04225,1.05755,0.00672
1004056.0,-0.04217,1.05751,0.00679
1004940.0,-0.04228,1.05766,0.00668
1005824.0,-0.04224,1.05759,0.00671
1006708.0,-0.0422,1.05756,0.00671
1007592.0,-0.04232,1.0576,0.00663
1008476.0,-0.04232,1.05756,0.00667
1009360.0,-0.04225,1.05763,0.00672
1010244.0,-0.04231,1.05759,0.00672
1011128.0,-0.04225,1.05757,0.00669
1012012.0,-0.0423,1.05763,0.00666
1012896.0,-0.04229,1.05771,0.00663
1013780.0,-0.04238,1.05775,0.00664
1014664.0,-0.04213,1.05754,0.00669
1015548.0,-0.04224,1.05756,0.00665
1016432.0,-0.04228,1.05771,0.00664
1017316.0,-0.04224,1.05761,0.00665
1018200.0,-0.04234,1.05764,0.00653
1019084.0,-0.04244,1.05785,0.00656
1019968.0,-0.04226,1.05767,0.00657
1020852.0,-0.0422,1.05752,0.00664
1021736.0,-0.04242,1.05775,0.00661
1022620.0,-0.04231,1.05748,0.00659
1023504.0,-0.04231,1.05762,0.00662
1024388.0,-0.04242,1.05779,0.00645
1025272.0,-0.0423,1.05755,0.00667
1026156.0,-0.04225,1.05756,0.00667
1027040.0,-0.04217,1.05745,0.00679
1027924.0,-0.04214,1.05733,0.00682
1028808.0,-0.04224,1.05761,0.00662
1029692.0,-0.04239,1.05776,0.00655
1030576.0,-0.04247,1.05789,0.00656
1031460.0,-0.04237,1.05769,0.00663
1032344.0,-0.04238,1.05769,0.00659
1033228.0,-0.04246,1.05779,0.00652
1034112.0,-0.04251,1.0578,0.00654
1034996.0,-0.04258,1.05791,0.00645
1035880.0,-0.04261,1.05786,0.0064
1036764.0,-0.0425,1.05775,0.00645
1037648.0,-0.04248,1.05786,0.00651
1038532.0,-0.04234,1.05759,0.00673
1039416.0,-0.0424,1.05768,0.0067
1040300.0,-0.04235,1.0576,0.00651
1041184.0,-0.04242,1.05773,0.00663
1042068.0,-0.04246,1.05765,0.00656
1042952.0,-0.04252,1.05777,0.00636
1043836.0,-0.04242,1.05767,0.00659
1044720.0,-0.04241,1.05766,0.00655
1045604.0,-0.0425,1.05773,0.0064
1046488.0,-0.04245,1.05767,0.0066
1047372.0,-0.04249,1.05768,0.00665
1048256.0,-0.04259,1.05782,0.0065
1049140.0,-0.04253,1.05789,0.0065
1050024.0,-0.0425,1.05786,0.00658
1050908.0,-0.04241,1.05776,0.00652
1051792.0,-0.04247,1.0578,0.00654
1052676.0,-0.04237,1.05764,0.00665
1053560.0,-0.04247,1.05773,0.00647
1054444.0,-0.04251,1.05781,0.00645
1055328.0,-0.04253,1.0578,0.00636
1056212.0,-0.04245,1.05774,0.00637
1057096.0,-0.04242,1.05772,0.0065
1057980.0,-0.04256,1.05783,0.00632
1058864.0,-0.04249,1.05775,0.00623
1059748.0,-0.0425,1.0579,0.00629
1060632.0,-0.0426,1.0579,0.00628
1061516.0,-0.04261,1.05791,0.00626
1062400.0,-0.04239,1.05781,0.00642
1063284.0,-0.04243,1.05777,0.00644
1064168.0,-0.0424,1.05776,0.0065
1065052.0,-0.04241,1.05773,0.00659
1065936.0,-0.04256,1.05788,0.00652
1066820.0,-0.04242,1.05788,0.00645
1067704.0,-0.04247,1.05785,0.00656
1068588.0,-0.04251,1.05794,0.00643
1069472.0,-0.04242,1.05777,0.00657
1070356.0,-0.04236,1.05774,0.00642
1071240.0,-0.04258,1.05788,0.0064
