TimeStamp_(ms),acc(_x_(g),acc_y_(g),acc_z_(g)
5676.0,-0.05942,0.03989,1.00994
5760.0,-0.05948,0.0398,1.00986
5844.0,-0.05924,0.03988,1.01004
5928.0,-0.05914,0.0396,1.01013
6012.0,-0.05916,0.03975,1.00984
6096.0,-0.05935,0.04011,1.01012
6180.0,-0.05947,0.03981,1.01008
6264.0,-0.05933,0.03996,1.0103
6348.0,-0.05929,0.03988,1.01011
6432.0,-0.05915,0.03979,1.01024
6516.0,-0.05906,0.03984,1.01036
6600.0,-0.05899,0.0398,1.01017
6684.0,-0.05896,0.03988,1.01004
6768.0,-0.059,0.03958,1.00999
6852.0,-0.05898,0.03955,1.01021
6936.0,-0.05933,0.03989,1.01044
7020.0,-0.05898,0.03968,1.00993
7104.0,-0.05904,0.03982,1.01008
7188.0,-0.0594,0.03996,1.01016
7272.0,-0.05914,0.03979,1.00971
7356.0,-0.05939,0.04002,1.00972
7440.0,-0.05951,0.03996,1.00972
7524.0,-0.05929,0.03985,1.00961
7608.0,-0.05949,0.04014,1.00979
7692.0,-0.05919,0.03977,1.00962
7776.0,-0.05927,0.03967,1.00976
7860.0,-0.05933,0.03987,1.00965
7944.0,-0.0592,0.03992,1.00961
8028.0,-0.05931,0.0398,1.00987
8112.0,-0.05909,0.03973,1.0099
8196.0,-0.05935,0.03977,1.0097
8280.0,-0.05925,0.03982,1.00972
8364.0,-0.05937,0.04002,1.00976
8448.0,-0.05949,0.0398,1.00978
8532.0,-0.05944,0.03984,1.0098
8616.0,-0.05927,0.03969,1.00979
8700.0,-0.0591,0.03984,1.00987
8784.0,-0.05913,0.03964,1.00987
8868.0,-0.05907,0.03973,1.01005
8952.0,-0.05922,0.03986,1.01008
9036.0,-0.05917,0.03971,1.00989
9120.0,-0.0591,0.0397,1.00988
9204.0,-0.05907,0.03988,1.01002
9288.0,-0.05892,0.03969,1.00982
9372.0,-0.05915,0.03972,1.01002
9456.0,-0.05926,0.03985,1.00989
9540.0,-0.05918,0.03964,1.01015
9624.0,-0.05932,0.03974,1.00989
9708.0,-0.05899,0.03972,1.00978
9792.0,-0.05895,0.03996,1.00985
9876.0,-0.05912,0.03984,1.00991
9960.0,-0.0591,0.03988,1.0102
10044.0,-0.05916,0.04003,1.00984
10128.0,-0.05931,0.03979,1.00996
10212.0,-0.05934,0.03958,1.00987
10296.0,-0.05957,0.03974,1.00996
10380.0,-0.05915,0.03973,1.00984
10464.0,-0.05916,0.03975,1.00979
10548.0,-0.05943,0.04001,1.00976
10632.0,-0.05952,0.04013,1.00976
10716.0,-0.05914,0.03966,1.0099
10800.0,-0.05942,0.04,1.00998
10884.0,-0.05929,0.03981,1.00996
10968.0,-0.05918,0.03956,1.00991
11052.0,-0.05932,0.0398,1.00999
11136.0,-0.05917,0.03977,1.01006
11220.0,-0.05918,0.03991,1.00999
11304.0,-0.05896,0.03985,1.00994
11388.0,-0.05931,0.03993,1.00986
11472.0,-0.05944,0.03992,1.00969
11556.0,-0.05944,0.03995,1.00973
11640.0,-0.05928,0.03999,1.00994
11724.0,-0.05934,0.04006,1.00991
11808.0,-0.05941,0.03991,1.00976
11892.0,-0.05904,0.0398,1.00974
11976.0,-0.05923,0.04007,1.00999
12060.0,-0.05941,0.04031,1.00982
12144.0,-0.05921,0.04001,1.00995
12228.0,-0.05899,0.03983,1.01002
12312.0,-0.05907,0.0399,1.01005
12396.0,-0.05912,0.03976,1.01013
12480.0,-0.05941,0.04002,1.00998
12564.0,-0.0594,0.04013,1.0099
12648.0,-0.05959,0.04006,1.01006
12732.0,-0.0595,0.04003,1.01007
12816.0,-0.05952,0.04022,1.01001
12900.0,-0.05939,0.03996,1.00999
12984.0,-0.05937,0.04006,1.00984
13068.0,-0.05952,0.04011,1.01007
13152.0,-0.0593,0.03979,1.00981
13236.0,-0.05924,0.03987,1.01001
13320.0,-0.05949,0.04011,1.01011
13404.0,-0.05941,0.04018,1.00982
13488.0,-0.0592,0.03994,1.00992
13572.0,-0.05925,0.03999,1.0098
13656.0,-0.05935,0.04005,1.00976
13740.0,-0.05971,0.04013,1.01014
13824.0,-0.0592,0.04002,1.00988
13908.0,-0.05947,0.04004,1.00994
13992.0,-0.05947,0.03993,1.01001
